FID,Shape,地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME
0,面,西沙区,460301,西沙区,460301,市辖区,三沙市,460300,地级市,海南省,460000,省, ,2020年新设西沙区,Xisha
1,面,南沙区,460302,南沙区,460302,市辖区,三沙市,460300,地级市,海南省,460000,省, ,2020年新设南沙区,Nansha
2,面,阿巴嘎旗,152522,阿巴嘎旗,152522,旗,锡林郭勒盟,152500,盟,内蒙古自治区,150000,自治区, , ,Abaga
3,面,阿坝县,513231,阿坝县,513231,县,阿坝藏族羌族自治州,513200,自治州,四川省,510000,省, , ,Aba
4,面,阿城区,230112,阿城区,230112,市辖区,哈尔滨市,230100,地级市,黑龙江省,230000,省,阿城市,2006年撤销阿城市，设立阿城区,Acheng
5,面,阿尔山市,152202,阿尔山市,152202,县级市,兴安盟,152200,盟,内蒙古自治区,150000,自治区, , ,Aershan
6,面,阿合奇县,653023,阿合奇县,653023,县,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Aheqi
7,面,阿克塞哈萨克族自治县,620924,阿克塞哈萨克族自治县,620924,自治县,酒泉市,620900,地级市,甘肃省,620000,省, , ,AkesaiKazak
8,面,阿克苏市,652901,阿克苏市,652901,县级市,阿克苏地区,652900,地区,新疆维吾尔自治区,650000,自治区, , ,Akesu
9,面,阿克陶县,653022,阿克陶县,653022,县,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Aketao
10,面,阿拉尔市,659002,阿拉尔市,659002,县级市,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,"省直辖市,省直管,是县级单位",Alaer
11,面,阿拉山口市,652702,阿拉山口市,652702,县级市,博尔塔拉蒙古自治州,652700,自治州,新疆维吾尔自治区,650000,自治区, ,2012年新设阿拉山口市，下辖艾比湖街道、阿拉套街道,Alashankou
12,面,阿拉善右旗,152922,阿拉善右旗,152922,旗,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区, , ,Alashanyou
13,面,阿拉善左旗,152921,阿拉善左旗,152921,旗,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区, , ,Alashanzuo
14,面,阿勒泰市,654301,阿勒泰市,654301,县级市,阿勒泰地区,654300,地区,新疆维吾尔自治区,650000,自治区, , ,Aletai
15,面,阿鲁科尔沁旗,150421,阿鲁科尔沁旗,150421,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Alukeerqin
16,面,阿荣旗,150721,阿荣旗,150721,旗,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区, , ,Arong
17,面,阿图什市,653001,阿图什市,653001,县级市,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Atushi
18,面,阿瓦提县,652928,阿瓦提县,652928,县,阿克苏地区,652900,地区,新疆维吾尔自治区,650000,自治区, , ,Awati
19,面,爱辉区,231102,爱辉区,231102,市辖区,黑河市,231100,地级市,黑龙江省,230000,省, , ,Aihui
20,面,爱民区,231004,爱民区,231004,市辖区,牡丹江市,231000,地级市,黑龙江省,230000,省, , ,Aimin
21,面,安次区,131002,安次区,131002,市辖区,廊坊市,131000,地级市,河北省,130000,省, , ,Anci
22,面,安达市,231281,安达市,231281,县级市,绥化市,231200,地级市,黑龙江省,230000,省, , ,Anda
23,面,安定区,621102,安定区,621102,市辖区,定西市,621100,地级市,甘肃省,620000,省,定西县,2003年撤销定西县，设立安定区,Anding
24,面,安多县,540624,安多县,540624,县,那曲市,540600,地级市,西藏自治区,540000,自治区, , ,Anduo
25,面,安福县,360829,安福县,360829,县,吉安市,360800,地级市,江西省,360000,省, , ,Anfu
26,面,安国市,130683,安国市,130683,县级市,保定市,130600,地级市,河北省,130000,省, , ,Anguo
27,面,安化县,430923,安化县,430923,县,益阳市,430900,地级市,湖南省,430000,省, , ,Anhua
28,面,安吉县,330523,安吉县,330523,县,湖州市,330500,地级市,浙江省,330000,省, , ,Anji
29,面,安居区,510904,安居区,510904,市辖区,遂宁市,510900,地级市,四川省,510000,省, , ,Anju
30,面,安龙县,522328,安龙县,522328,县,黔西南布依族苗族自治州,522300,自治州,贵州省,520000,省, , ,Anlong
31,面,安陆市,420982,安陆市,420982,县级市,孝感市,420900,地级市,湖北省,420000,省, , ,Anlu
32,面,安宁区,620105,安宁区,620105,市辖区,兰州市,620100,地级市,甘肃省,620000,省, , ,Anning
33,面,安宁市,530181,安宁市,530181,县级市,昆明市,530100,地级市,云南省,530000,省, , ,Anning
34,面,安平县,131125,安平县,131125,县,衡水市,131100,地级市,河北省,130000,省, , ,Anping
35,面,安丘市,370784,安丘市,370784,县级市,潍坊市,370700,地级市,山东省,370000,省, , ,Anqiu
36,面,安仁县,431028,安仁县,431028,县,郴州市,431000,地级市,湖南省,430000,省, , ,Anren
37,面,安塞区,610603,安塞区,610603,市辖区,延安市,610600,地级市,陕西省,610000,省,安塞县,2016年撤销安塞县，设立安塞区,Ansai
38,面,安图县,222426,安图县,222426,县,延边朝鲜族自治州,222400,自治州,吉林省,220000,省, , ,Antu
39,面,安溪县,350524,安溪县,350524,县,泉州市,350500,地级市,福建省,350000,省, , ,Anxi
40,面,安乡县,430721,安乡县,430721,县,常德市,430700,地级市,湖南省,430000,省, , ,Anxiang
41,面,安新县,130632,安新县,130632,县,保定市,130600,地级市,河北省,130000,省, , ,Anxin
42,面,安阳县,410522,安阳县,410522,县,安阳市,410500,地级市,河南省,410000,省, , ,Anyang
43,面,安义县,360123,安义县,360123,县,南昌市,360100,地级市,江西省,360000,省, , ,Anyi
44,面,安源区,360302,安源区,360302,市辖区,萍乡市,360300,地级市,江西省,360000,省, , ,Anyuan
45,面,安远县,360726,安远县,360726,县,赣州市,360700,地级市,江西省,360000,省, , ,Anyuan
46,面,安岳县,512021,安岳县,512021,县,资阳市,512000,地级市,四川省,510000,省, , ,Anyue
47,面,安泽县,141026,安泽县,141026,县,临汾市,141000,地级市,山西省,140000,省, , ,Anze
48,面,安州区,510705,安州区,510705,市辖区,绵阳市,510700,地级市,四川省,510000,省,安县,2016年撤销安县，设立安州区,Anzhou
49,面,昂昂溪区,230205,昂昂溪区,230205,市辖区,齐齐哈尔市,230200,地级市,黑龙江省,230000,省, , ,Angangxi
50,面,昂仁县,540226,昂仁县,540226,县,日喀则市,540200,地级市,西藏自治区,540000,自治区, , ,Angren
51,面,敖汉旗,150430,敖汉旗,150430,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Aohan
52,面,澳门特别行政区,820000,不统计,0,不统计,不统计,0,不统计,澳门特别行政区,820000,特别行政区, , ,Macao
53,面,八步区,451102,八步区,451102,市辖区,贺州市,451100,地级市,广西壮族自治区,450000,自治区, , ,Babu
54,面,八公山区,340405,八公山区,340405,市辖区,淮南市,340400,地级市,安徽省,340000,省, , ,Bagongshan
55,面,八宿县,540326,八宿县,540326,县,昌都市,540300,地级市,西藏自治区,540000,自治区, , ,Basu
56,面,巴楚县,653130,巴楚县,653130,县,喀什地区,653100,地区,新疆维吾尔自治区,650000,自治区, , ,Bachu
57,面,巴东县,422823,巴东县,422823,县,恩施土家族苗族自治州,422800,自治州,湖北省,420000,省, , ,Badong
58,面,巴里坤哈萨克自治县,650521,巴里坤哈萨克自治县,650521,自治县,哈密市,650500,地级市,新疆维吾尔自治区,650000,自治区, , ,Balikunhasake
59,面,巴林右旗,150423,巴林右旗,150423,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Balinyou
60,面,巴林左旗,150422,巴林左旗,150422,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Balinzuo
61,面,巴马瑶族自治县,451227,巴马瑶族自治县,451227,自治县,河池市,451200,地级市,广西壮族自治区,450000,自治区, , ,Bamayaozu
62,面,巴南区,500113,巴南区,500113,市辖区,不统计,0,不统计,重庆市,500000,直辖市, , ,Banan
63,面,巴青县,540628,巴青县,540628,县,那曲市,540600,地级市,西藏自治区,540000,自治区, , ,Baqing
64,面,巴塘县,513335,巴塘县,513335,县,甘孜藏族自治州,513300,自治州,四川省,510000,省, , ,Batang
65,面,巴彦县,230126,巴彦县,230126,县,哈尔滨市,230100,地级市,黑龙江省,230000,省, , ,Bayan
66,面,巴宜区,540402,巴宜区,540402,市辖区,林芝市,540400,地级市,西藏自治区,540000,自治区,林芝县,2015年撤销林芝县，设立巴宜区,Bayi
67,面,巴州区,511902,巴州区,511902,市辖区,巴中市,511900,地级市,四川省,510000,省, ,2013年拆分巴州区的12个镇、12个乡，划归恩阳区管辖,Bazhou
68,面,鲅鱼圈区,210804,鲅鱼圈区,210804,市辖区,营口市,210800,地级市,辽宁省,210000,省, ,2004年新设立鲅鱼圈区,Bayuquan
69,面,霸州市,131081,霸州市,131081,县级市,廊坊市,131000,地级市,河北省,130000,省, , ,Bazhou
70,面,灞桥区,610111,灞桥区,610111,市辖区,西安市,610100,地级市,陕西省,610000,省, , ,Baqiao
71,面,白河县,610929,白河县,610929,县,安康市,610900,地级市,陕西省,610000,省, , ,Baihe
72,面,白碱滩区,650204,白碱滩区,650204,市辖区,克拉玛依市,650200,地级市,新疆维吾尔自治区,650000,自治区, , ,Baijiantan
73,面,白朗县,540228,白朗县,540228,县,日喀则市,540200,地级市,西藏自治区,540000,自治区, , ,Bailang
74,面,白沙黎族自治县,469025,白沙黎族自治县,469025,自治县,不统计,0,不统计,海南省,460000,省, ,"省直辖县,省直管,是县级单位",Baishalizu
75,面,白水县,610527,白水县,610527,县,渭南市,610500,地级市,陕西省,610000,省, , ,Baishui
76,面,白塔区,211002,白塔区,211002,市辖区,辽阳市,211000,地级市,辽宁省,210000,省, , ,Baita
77,面,白银区,620402,白银区,620402,市辖区,白银市,620400,地级市,甘肃省,620000,省, , ,Baiyin
78,面,白玉县,513331,白玉县,513331,县,甘孜藏族自治州,513300,自治州,四川省,510000,省, , ,Baiyu
79,面,白云鄂博矿区,150206,白云鄂博矿区,150206,市辖区,包头市,150200,地级市,内蒙古自治区,150000,自治区, , ,Baiyunebokuang
80,面,柏乡县,130524,柏乡县,130524,县,邢台市,130500,地级市,河北省,130000,省, , ,Baixiang
81,面,拜城县,652926,拜城县,652926,县,阿克苏地区,652900,地区,新疆维吾尔自治区,650000,自治区, , ,Baicheng
82,面,拜泉县,230231,拜泉县,230231,县,齐齐哈尔市,230200,地级市,黑龙江省,230000,省, , ,Baiquan
83,面,班戈县,540627,班戈县,540627,县,那曲市,540600,地级市,西藏自治区,540000,自治区, , ,Bange
84,面,班玛县,632622,班玛县,632622,县,果洛藏族自治州,632600,自治州,青海省,630000,省, , ,Banma
85,面,蚌山区,340303,蚌山区,340303,市辖区,蚌埠市,340300,地级市,安徽省,340000,省,中市区,2004年中市区更名为蚌山区,Bengshan
86,面,包河区,340111,包河区,340111,市辖区,合肥市,340100,地级市,安徽省,340000,省,郊区,2002年郊区更名为包河区,Baohe
87,面,宝安区,440306,宝安区,440306,市辖区,深圳市,440300,地级市,广东省,440000,省, , ,Baoan
88,面,宝坻区,120115,宝坻区,120115,市辖区,不统计,0,不统计,天津市,120000,直辖市,宝坻县,2001年撤销宝坻县，设立宝坻区,Baodi
89,面,宝丰县,410421,宝丰县,410421,县,平顶山市,410400,地级市,河南省,410000,省, , ,Baofeng
90,面,宝清县,230523,宝清县,230523,县,双鸭山市,230500,地级市,黑龙江省,230000,省, , ,Baoqing
91,面,宝塔区,610602,宝塔区,610602,市辖区,延安市,610600,地级市,陕西省,610000,省, , ,Baota
92,面,宝兴县,511827,宝兴县,511827,县,雅安市,511800,地级市,四川省,510000,省, , ,Baoxing
93,面,宝应县,321023,宝应县,321023,县,扬州市,321000,地级市,江苏省,320000,省, , ,Baoying
94,面,保德县,140931,保德县,140931,县,忻州市,140900,地级市,山西省,140000,省, , ,Baode
95,面,保靖县,433125,保靖县,433125,县,湘西土家族苗族自治州,433100,自治州,湖南省,430000,省, , ,Baojing
96,面,保康县,420626,保康县,420626,县,襄阳市,420600,地级市,湖北省,420000,省, , ,Baokang
97,面,保亭黎族苗族自治县,469029,保亭黎族苗族自治县,469029,自治县,不统计,0,不统计,海南省,460000,省, ,"省直辖县,省直管,是县级单位",Baotinglizumiaozu
98,面,碑林区,610103,碑林区,610103,市辖区,西安市,610100,地级市,陕西省,610000,省, , ,Beilin
99,面,北安市,231181,北安市,231181,县级市,黑河市,231100,地级市,黑龙江省,230000,省, , ,Beian
100,面,北碚区,500109,北碚区,500109,市辖区,不统计,0,不统计,重庆市,500000,直辖市, , ,Beibei
101,面,北辰区,120113,北辰区,120113,市辖区,不统计,0,不统计,天津市,120000,直辖市, , ,Beichen
102,面,北川羌族自治县,510726,北川羌族自治县,510726,自治县,绵阳市,510700,地级市,四川省,510000,省,北川县,2003年撤销北川县，设立北川羌族自治县,Beichuanqiangzu
103,面,北戴河区,130304,北戴河区,130304,市辖区,秦皇岛市,130300,地级市,河北省,130000,省, , ,Beidaihe
104,面,北关区,410503,北关区,410503,市辖区,安阳市,410500,地级市,河南省,410000,省, , ,Beiguan
105,面,北湖区,431002,北湖区,431002,市辖区,郴州市,431000,地级市,湖南省,430000,省, , ,Beihu
106,面,北林区,231202,北林区,231202,市辖区,绥化市,231200,地级市,黑龙江省,230000,省, , ,Beilin
107,面,北流市,450981,北流市,450981,县级市,玉林市,450900,地级市,广西壮族自治区,450000,自治区, , ,Beiliu
108,面,北仑区,330206,北仑区,330206,市辖区,宁波市,330200,地级市,浙江省,330000,省, , ,Beilun
109,面,北票市,211381,北票市,211381,县级市,朝阳市,211300,地级市,辽宁省,210000,省, , ,Beipiao
110,面,北塔区,430511,北塔区,430511,市辖区,邵阳市,430500,地级市,湖南省,430000,省, , ,Beita
111,面,北屯市,659005,北屯市,659005,县级市,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,2011年设立县级北屯市，由自治区直辖，是县级单位,Beitun
112,面,北镇市,210782,北镇市,210782,县级市,锦州市,210700,地级市,辽宁省,210000,省, , ,Beizhen
113,面,本溪满族自治县,210521,本溪满族自治县,210521,自治县,本溪市,210500,地级市,辽宁省,210000,省, , ,Benximanzu
114,面,比如县,540622,比如县,540622,县,那曲市,540600,地级市,西藏自治区,540000,自治区, , ,Biru
115,面,碧江区,520602,碧江区,520602,市辖区,铜仁市,520600,地级市,贵州省,520000,省,铜仁市,2011年撤销铜仁市，设立碧江区,Bijiang
116,面,璧山区,500120,璧山区,500120,市辖区,不统计,0,不统计,重庆市,500000,直辖市,璧山县,2014年撤销璧山县，设立璧山区,Bishan
117,面,边坝县,540330,边坝县,540330,县,昌都市,540300,地级市,西藏自治区,540000,自治区, , ,Bianba
118,面,宾川县,532924,宾川县,532924,县,大理白族自治州,532900,自治州,云南省,530000,省, , ,Binchuan
119,面,宾县,230125,宾县,230125,县,哈尔滨市,230100,地级市,黑龙江省,230000,省, , ,Binxian
120,面,宾阳县,450126,宾阳县,450126,县,南宁市,450100,地级市,广西壮族自治区,450000,自治区, , ,Binyang
121,面,彬州市,610482,彬州市,610482,县级市,咸阳市,610400,地级市,陕西省,610000,省,彬县,2018年撤销彬县，设立彬州市,Binzhou
122,面,滨城区,371602,滨城区,371602,市辖区,滨州市,371600,地级市,山东省,370000,省, , ,Bincheng
123,面,滨海县,320922,滨海县,320922,县,盐城市,320900,地级市,江苏省,320000,省, , ,Binhai
124,面,滨海新区,120116,滨海新区,120116,市辖区,不统计,0,不统计,天津市,120000,直辖市,塘沽区、汉沽区、大港区,2009年塘沽区、汉沽区、大港区合并为 滨海新区,Binhaixin
125,面,滨湖区,320211,滨湖区,320211,市辖区,无锡市,320200,地级市,江苏省,320000,省,马山区,2000年撤销马山区和郊区，设立滨湖区,Binhu
126,面,滨江区,330108,滨江区,330108,市辖区,杭州市,330100,地级市,浙江省,330000,省, , ,Binjiang
127,面,波密县,540424,波密县,540424,县,林芝市,540400,地级市,西藏自治区,540000,自治区, , ,Bomi
128,面,播州区,520304,播州区,520304,市辖区,遵义市,520300,地级市,贵州省,520000,省,遵义县,2016年撤销遵义县，设立播州区,Bozhou
129,面,勃利县,230921,勃利县,230921,县,七台河市,230900,地级市,黑龙江省,230000,省, , ,Boli
130,面,博爱县,410822,博爱县,410822,县,焦作市,410800,地级市,河南省,410000,省, , ,Boai
131,面,博白县,450923,博白县,450923,县,玉林市,450900,地级市,广西壮族自治区,450000,自治区, , ,Bobai
132,面,博湖县,652829,博湖县,652829,县,巴音郭楞蒙古自治州,652800,自治州,新疆维吾尔自治区,650000,自治区, , ,Bohu
133,面,博乐市,652701,博乐市,652701,县级市,博尔塔拉蒙古自治州,652700,自治州,新疆维吾尔自治区,650000,自治区, , ,Bole
134,面,博罗县,441322,博罗县,441322,县,惠州市,441300,地级市,广东省,440000,省, , ,Boluo
135,面,博山区,370304,博山区,370304,市辖区,淄博市,370300,地级市,山东省,370000,省, , ,Boshan
136,面,博望区,340506,博望区,340506,市辖区,马鞍山市,340500,地级市,安徽省,340000,省, ,2012年拆分当涂县的三个镇，设立博望区,Bowang
137,面,博兴县,371625,博兴县,371625,县,滨州市,371600,地级市,山东省,370000,省, , ,Boxing
138,面,博野县,130637,博野县,130637,县,保定市,130600,地级市,河北省,130000,省, , ,Boye
139,面,布尔津县,654321,布尔津县,654321,县,阿勒泰地区,654300,地区,新疆维吾尔自治区,650000,自治区, , ,Buerjin
140,面,布拖县,513429,布拖县,513429,县,凉山彝族自治州,513400,自治州,四川省,510000,省, , ,Butuo
141,面,蔡甸区,420114,蔡甸区,420114,市辖区,武汉市,420100,地级市,湖北省,420000,省, , ,Caidian
142,面,仓山区,350104,仓山区,350104,市辖区,福州市,350100,地级市,福建省,350000,省, , ,Cangshan
143,面,苍南县,330327,苍南县,330327,县,温州市,330300,地级市,浙江省,330000,省, , ,Cangnan
144,面,苍梧县,450421,苍梧县,450421,县,梧州市,450400,地级市,广西壮族自治区,450000,自治区, ,2013年拆分苍梧县的4个镇，划归龙圩区管辖,Cangwu
145,面,苍溪县,510824,苍溪县,510824,县,广元市,510800,地级市,四川省,510000,省, , ,Cangxi
146,面,沧县,130921,沧县,130921,县,沧州市,130900,地级市,河北省,130000,省, , ,Cangxian
147,面,沧源佤族自治县,530927,沧源佤族自治县,530927,自治县,临沧市,530900,地级市,云南省,530000,省, , ,Cangyuanwazu
148,面,曹妃甸区,130209,曹妃甸区,130209,市辖区,唐山市,130200,地级市,河北省,130000,省,唐海县,2012年撤销唐海县，设立曹妃甸区,Caofeidian
149,面,曹县,371721,曹县,371721,县,菏泽市,371700,地级市,山东省,370000,省, , ,Caoxian
150,面,册亨县,522327,册亨县,522327,县,黔西南布依族苗族自治州,522300,自治州,贵州省,520000,省, , ,Ceheng
151,面,策勒县,653225,策勒县,653225,县,和田地区,653200,地区,新疆维吾尔自治区,650000,自治区, , ,Cele
152,面,岑巩县,522626,岑巩县,522626,县,黔东南苗族侗族自治州,522600,自治州,贵州省,520000,省, , ,Cengong
153,面,岑溪市,450481,岑溪市,450481,县级市,梧州市,450400,地级市,广西壮族自治区,450000,自治区, , ,Cenxi
154,面,茶陵县,430224,茶陵县,430224,县,株洲市,430200,地级市,湖南省,430000,省, , ,Chaling
155,面,察布查尔锡伯自治县,654022,察布查尔锡伯自治县,654022,自治县,伊犁哈萨克自治州,654000,自治州,新疆维吾尔自治区,650000,自治区, , ,Chabuchaerxibo
156,面,察哈尔右翼后旗,150928,察哈尔右翼后旗,150928,旗,乌兰察布市,150900,地级市,内蒙古自治区,150000,自治区, , ,Chaharrightrearbanner
157,面,察哈尔右翼前旗,150926,察哈尔右翼前旗,150926,旗,乌兰察布市,150900,地级市,内蒙古自治区,150000,自治区, , ,Chaharrightfrontbanner
158,面,察哈尔右翼中旗,150927,察哈尔右翼中旗,150927,旗,乌兰察布市,150900,地级市,内蒙古自治区,150000,自治区, , ,Chaharrightmiddlebanner
159,面,察雅县,540325,察雅县,540325,县,昌都市,540300,地级市,西藏自治区,540000,自治区, , ,Chaya
160,面,察隅县,540425,察隅县,540425,县,林芝市,540400,地级市,西藏自治区,540000,自治区, , ,Chayu
161,面,柴桑区,360404,柴桑区,360404,市辖区,九江市,360400,地级市,江西省,360000,省,九江县,2017年撤销九江县，设立柴桑区,Chaisang
162,面,禅城区,440604,禅城区,440604,市辖区,佛山市,440600,地级市,广东省,440000,省,城区和石湾区,2002年撤销城区和石湾区，设立禅城区,Chancheng
163,面,瀍河回族区,410304,瀍河回族区,410304,市辖区,洛阳市,410300,地级市,河南省,410000,省, , ,Chanhehuizu
164,面,昌吉市,652301,昌吉市,652301,县级市,昌吉回族自治州,652300,自治州,新疆维吾尔自治区,650000,自治区, , ,Changji
165,面,昌江黎族自治县,469026,昌江黎族自治县,469026,自治县,不统计,0,不统计,海南省,460000,省, ,"省直辖县,省直管,是县级单位",Changjianglizu
166,面,昌江区,360202,昌江区,360202,市辖区,景德镇市,360200,地级市,江西省,360000,省, , ,Changjiang
167,面,昌乐县,370725,昌乐县,370725,县,潍坊市,370700,地级市,山东省,370000,省, , ,Changle
168,面,昌黎县,130322,昌黎县,130322,县,秦皇岛市,130300,地级市,河北省,130000,省, , ,Changli
169,面,昌宁县,530524,昌宁县,530524,县,保山市,530500,地级市,云南省,530000,省, , ,Changning
170,面,昌平区,110114,昌平区,110114,市辖区,不统计,0,不统计,北京市,110000,直辖市, , ,Changping
171,面,昌图县,211224,昌图县,211224,县,铁岭市,211200,地级市,辽宁省,210000,省, , ,Changtu
172,面,昌邑区,220202,昌邑区,220202,市辖区,吉林市,220200,地级市,吉林省,220000,省, , ,Changyi
173,面,昌邑市,370786,昌邑市,370786,县级市,潍坊市,370700,地级市,山东省,370000,省, , ,Changyi
174,面,常宁市,430482,常宁市,430482,县级市,衡阳市,430400,地级市,湖南省,430000,省, , ,Changning
175,面,常山县,330822,常山县,330822,县,衢州市,330800,地级市,浙江省,330000,省, , ,Changshan
176,面,常熟市,320581,常熟市,320581,县级市,苏州市,320500,地级市,江苏省,320000,省, , ,Changshu
177,面,巢湖市,340181,巢湖市,340181,县级市,合肥市,340100,地级市,安徽省,340000,省,居巢区,2011年撤销地级巢湖市以及县级居巢区，设立合肥市巢湖市,Chaohu
178,面,朝天区,510812,朝天区,510812,市辖区,广元市,510800,地级市,四川省,510000,省, , ,Chaotian
179,面,朝阳县,211321,朝阳县,211321,县,朝阳市,211300,地级市,辽宁省,210000,省, , ,Chaoyang
180,面,潮安区,445103,潮安区,445103,市辖区,潮州市,445100,地级市,广东省,440000,省,潮安县,2013年撤销潮安县，设立潮安区,Chaoan
181,面,潮南区,440514,潮南区,440514,市辖区,汕头市,440500,地级市,广东省,440000,省, , ,Chaonan
182,面,潮阳区,440513,潮阳区,440513,市辖区,汕头市,440500,地级市,广东省,440000,省,潮阳市,2003年撤销潮阳市，设立潮阳区,Chaoyang
183,面,辰溪县,431223,辰溪县,431223,县,怀化市,431200,地级市,湖南省,430000,省, , ,Chenxi
184,面,陈巴尔虎旗,150725,陈巴尔虎旗,150725,旗,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区, , ,Chenbaerhu
185,面,陈仓区,610304,陈仓区,610304,市辖区,宝鸡市,610300,地级市,陕西省,610000,省,宝鸡县,2003年撤销宝鸡县，设立陈仓区,Chencang
186,面,称多县,632723,称多县,632723,县,玉树藏族自治州,632700,自治州,青海省,630000,省, , ,Chengduo
187,面,成安县,130424,成安县,130424,县,邯郸市,130400,地级市,河北省,130000,省, , ,Chengan
188,面,成华区,510108,成华区,510108,市辖区,成都市,510100,地级市,四川省,510000,省, , ,Chenghua
189,面,成武县,371723,成武县,371723,县,菏泽市,371700,地级市,山东省,370000,省, , ,Chengwu
190,面,成县,621221,成县,621221,县,陇南市,621200,地级市,甘肃省,620000,省, , ,Chengxian
191,面,呈贡区,530114,呈贡区,530114,市辖区,昆明市,530100,地级市,云南省,530000,省,呈贡县,2011年撤销呈贡县，设立呈贡区,Chenggong
192,面,承德县,130821,承德县,130821,县,承德市,130800,地级市,河北省,130000,省, , ,Chengde
193,面,城北区,630105,城北区,630105,市辖区,西宁市,630100,地级市,青海省,630000,省, , ,Chengbei
194,面,城步苗族自治县,430529,城步苗族自治县,430529,自治县,邵阳市,430500,地级市,湖南省,430000,省, , ,Chengbumiaozu
195,面,城东区,630102,城东区,630102,市辖区,西宁市,630100,地级市,青海省,630000,省, , ,Chengdong
196,面,城固县,610722,城固县,610722,县,汉中市,610700,地级市,陕西省,610000,省, , ,Chenggu
197,面,城口县,500229,城口县,500229,县,不统计,0,不统计,重庆市,500000,直辖市, , ,Chengkou
198,面,城西区,630104,城西区,630104,市辖区,西宁市,630100,地级市,青海省,630000,省, , ,Chengxi
199,面,城厢区,350302,城厢区,350302,市辖区,莆田市,350300,地级市,福建省,350000,省, , ,Chengxiang
200,面,城阳区,370214,城阳区,370214,市辖区,青岛市,370200,地级市,山东省,370000,省, , ,Chengyang
201,面,城子河区,230306,城子河区,230306,市辖区,鸡西市,230300,地级市,黑龙江省,230000,省, , ,Chengzihe
202,面,澄城县,610525,澄城县,610525,县,渭南市,610500,地级市,陕西省,610000,省, , ,Chengcheng
203,面,澄海区,440515,澄海区,440515,市辖区,汕头市,440500,地级市,广东省,440000,省,澄海市,2003年撤销澄海市，设立澄海区,Chenghai
204,面,澄江市,530481,澄江市,530481,县级市,玉溪市,530400,地级市,云南省,530000,省,澄江县,2019年撤销澄江县，设立澄江市,Chengjiang
205,面,澄迈县,469023,澄迈县,469023,县,不统计,0,不统计,海南省,460000,省, ,"省直辖县,省直管,是县级单位",Chengmai
206,面,茌平区,371503,茌平区,371503,市辖区,聊城市,371500,地级市,山东省,370000,省,茌平县,2019年撤销茌平县，设立茌平区,Chiping
207,面,赤壁市,421281,赤壁市,421281,县级市,咸宁市,421200,地级市,湖北省,420000,省, , ,Chibi
208,面,赤城县,130732,赤城县,130732,县,张家口市,130700,地级市,河北省,130000,省, , ,Chicheng
209,面,赤坎区,440802,赤坎区,440802,市辖区,湛江市,440800,地级市,广东省,440000,省, , ,Chikan
210,面,赤水市,520381,赤水市,520381,县级市,遵义市,520300,地级市,贵州省,520000,省, , ,Chishui
211,面,崇川区,320613,崇川区,320613,市辖区,南通市,320600,地级市,江苏省,320000,省, ,2020年撤销崇川区、港闸区，设立新的崇川区,Chongchuan
212,面,崇礼区,130709,崇礼区,130709,市辖区,张家口市,130700,地级市,河北省,130000,省,崇礼县,2016年撤销崇礼县，设立崇礼区,Chongli
213,面,崇明区,310151,崇明区,310151,市辖区,不统计,0,不统计,上海市,310000,直辖市,崇明县,2016年撤销崇明县，设立崇明区,Chongming
214,面,崇仁县,361024,崇仁县,361024,县,抚州市,361000,地级市,江西省,360000,省, , ,Chongren
215,面,崇信县,620823,崇信县,620823,县,平凉市,620800,地级市,甘肃省,620000,省, , ,Chongxin
216,面,崇阳县,421223,崇阳县,421223,县,咸宁市,421200,地级市,湖北省,420000,省, , ,Chongyang
217,面,崇义县,360725,崇义县,360725,县,赣州市,360700,地级市,江西省,360000,省, , ,Chongyi
218,面,崇州市,510184,崇州市,510184,县级市,成都市,510100,地级市,四川省,510000,省, , ,Chongzhou
219,面,楚雄市,532301,楚雄市,532301,县级市,楚雄彝族自治州,532300,自治州,云南省,530000,省, , ,Chuxiong
220,面,川汇区,411602,川汇区,411602,市辖区,周口市,411600,地级市,河南省,410000,省, , ,Chuanhui
221,面,船山区,510903,船山区,510903,市辖区,遂宁市,510900,地级市,四川省,510000,省,市中区,2003年撤销市中区，设立船山区,Chuanshan
222,面,船营区,220204,船营区,220204,市辖区,吉林市,220200,地级市,吉林省,220000,省, , ,Chuanying
223,面,淳安县,330127,淳安县,330127,县,杭州市,330100,地级市,浙江省,330000,省, , ,Chunan
